word_order,area,n_points,Effective Dimensionality (PR),Dim (95% Var),Linearity (Geo/Euc Corr),Max Geodesic Dist (Diameter),Avg Local Curvature (Res. Var),H0 (Components) Max Lifetime,H0 (Components) Avg Lifetime,H0 (Components) Total Persistence,H0 (Components) Feature Count,H1 (Loops) Max Lifetime,H1 (Loops) Avg Lifetime,H1 (Loops) Total Persistence,H1 (Loops) Feature Count,H2 (Voids) Max Lifetime,H2 (Voids) Avg Lifetime,H2 (Voids) Total Persistence,H2 (Voids) Feature Count
SVO,ROLE_AGENT,775,1.6551774605303777,2,0.9951605905576111,15.754359193903564,5.902816170293214e-68,10.0,6.844677984714508,41.06806790828705,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0
SVO,ROLE_ACTION,775,1.4985010505327485,3,0.9951954921372966,18.164559236473465,0.00015134368669829698,9.899495124816895,5.446163024221148,76.24628233909607,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0
SVO,ROLE_PATIENT,775,2.6026374739787954,3,0.9956952567185946,20.548293386917138,9.251078568497454e-66,7.071067810058594,4.364012512293729,48.00413763523102,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0
SVO,SUBJ,775,2.560578520042016,6,0.9957226040170203,14.217662798305797,0.0003508102254291419,7.4833149909973145,3.2961437106132507,32.96143710613251,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0
SVO,VERB_SYNTAX,775,2.8392394621975594,9,0.8906287173700853,31.02877799267505,0.0001642184800544413,8.366600036621094,3.5407827138900756,70.81565427780151,21,0.0,0.0,0.0,0,0.0,0.0,0.0,0
SVO,OBJ,775,2.3791281916744156,9,0.9387808473350943,24.01781179795972,0.00011318777333931889,8.485280990600586,3.5964079065756365,79.120973944664,23,0.0,0.0,0.0,0,0.0,0.0,0.0,0
OVS,ROLE_AGENT,775,3.112251051909467,3,0.9997303654697832,9.615773105863909,8.838488509781761e-36,10.0,6.429058718681335,64.29058718681335,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0
OVS,ROLE_ACTION,775,3.7273625806817634,8,0.9689251946457937,17.294803495616264,0.0006269472475348012,9.899495124816895,5.502794915232165,159.5810525417328,30,0.2020406723022461,0.2020406723022461,0.2020406723022461,1,0.10050487518310547,0.10050487518310547,0.10050487518310547,1
OVS,ROLE_PATIENT,775,1.4267228879175338,3,0.9999999999999999,7.0710678118654755,9.525887773853612e-98,7.071067810058594,5.42115197579066,32.52691185474396,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0
OVS,SUBJ,775,2.288786452303729,11,0.8949131885693897,24.046319606631666,0.0002805143420411486,7.4833149909973145,3.0495664004621834,88.43742561340332,30,0.3789372444152832,0.3789372444152832,0.3789372444152832,1,0.0,0.0,0.0,0
OVS,VERB_SYNTAX,775,3.101931747204739,13,0.9190617581034196,27.843856446008285,0.00024522998534779724,8.602325439453125,3.6036833689130585,104.5068176984787,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
OVS,OBJ,775,1.5398528868573207,3,0.9472129086782244,16.178221904161113,1.5455556508006764e-34,5.830951690673828,3.2849640399217606,26.279712319374084,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0
